03-02B,וְהָי֖וּ לְבָשָׂ֥ר אֶחָֽד׃ 25וַיִּֽהְי֤וּ,אֶת־ק֨וֹל יְהוָ֧ה אֱלֹהִ֛ים,בְּעֶ֖צֶב תֵּֽלְדִ֣י בָנִ֑ים וְאֶל־אִישֵׁךְ֙
03-02B,שְׁנֵיהֶם֙ עֲרוּמִּ֔ים הָֽאָדָ֖ם ו,מִתְהַלֵּ֥ךְ בַּגָּ֖ן לְר֣וּחַ הַיּ֑וֹם,תְּשׁ֣וּקָתֵ֔ךְ וְה֖וּא יִמְשָׁל־בָּֽךְ׃ ס
03-02B,ְאִשְׁתּ֑וֹ וְלֹ֖א יִתְבֹּשָֽׁשׁוּ׃,וַיִּתְחַבֵּ֨א הָֽאָדָ֜ם וְאִשְׁתּ֗וֹ,          17וּלְאָדָ֣ם אָמַ֗ר כִּֽי־
03-02B,3:1וְהַנָּחָשׁ֙ הָיָ֣ה עָר֔וּם מִכֹּל֙ חַיַּ֣ת,מִפְּנֵי֙ יְהוָ֣ה אֱלֹהִ֔ים בְּת֖וֹךְ עֵ֥ץ,שָׁמַעְתָּ֮ לְק֣וֹל אִשְׁתֶּךָ֒ וַתֹּ֙אכַל֙
03-02B,הַשָּׂדֶ֔ה אֲשֶׁ֥ר עָשָׂ֖ה יְהוָ֣ה,הַגָּֽן׃ 9וַיִּקְרָ֛א יְהוָ֥ה אֱלֹהִ֖ים,מִן־הָעֵ֔ץ אֲשֶׁ֤ר צִוִּיתִ֙יךָ֙ לֵאמֹ֔ר
03-02B,אֱלֹהִ֑ים וַיֹּ֙אמֶר֙ אֶל־הָ֣אִשָּׁ֔ה,אֶל־הָֽאָדָ֑ם וַיֹּ֥אמֶר ל֖וֹ אַיֶּֽכָּה׃ ,לֹ֥א תֹאכַ֖ל מִמֶּ֑נּוּ אֲרוּרָ֤ה הָֽאֲדָמָה֙
03-02B,אַ֚ף כִּֽי־אָמַ֣ר אֱלֹהִ֔ים לֹ֣א,10וַיֹּ֕אמֶר אֶת־קֹלְךָ֥ שָׁמַ֖עְתִּי,בַּֽעֲבוּרֶ֔ךָ בְּעִצָּבוֹן֙ תֹּֽאכֲלֶ֔נָּה
03-02B,תֹֽאכְל֔וּ מִכֹּ֖ל עֵ֥ץ הַגָּֽן׃,בַּגָּ֑ן וָאִירָ֛א כִּֽי־עֵירֹ֥ם אָנֹ֖כִי,כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ 18וְק֥וֹץ וְדַרְדַּ֖ר
03-02B, 2וַתֹּ֥אמֶר הָֽאִשָּׁ֖ה אֶל־הַנָּחָ֑שׁ,וָאֵחָבֵֽא׃ 11וַיֹּ֕אמֶר מִ֚י הִגִּ֣יד לְךָ֔,תַּצְמִ֣יחַֽ לָ֑ךְ וְאָכַלְתָּ֖ אֶת־עֵ֥שֶׂב
,,,
04-03A,הַשָּׂדֶֽה׃ 19בְּזֵעַ֤ת אַפֶּ֙יךָ֙ תֹּ֣אכַל ,הֽ͏ָאֲדָמָ֛ה מִנְחָ֖ה לַֽיהוָֽה,14הֵן֩ גֵּרַ֨שְׁתָּ אֹתִ֜י הַיּ֗וֹם מֵעַל֙ פְּנֵ֣י
04-03A,לֶ֔חֶם עַ֤ד שֽׁוּבְךָ֙ אֶל־הָ֣אֲדָמָ֔ה,׃ 4וְהֶ֨בֶל הֵבִ֥יא גַם־ה֛וּא מִבְּכֹר֥וֹת,הֽ͏ָאֲדָמָ֔ה וּמִפָּנֶ֖יךָ אֶסָּתֵ֑ר
04-03A,כִּ֥י מִמֶּ֖נָּה לֻקָּ֑חְתָּ כִּֽי־עָפָ֣ר,צֹאנ֖וֹ וּמֵֽחֶלְבֵהֶ֑ן וַיִּ֣שַׁע יְהוָ֔ה,וְהָיִ֜יתִי נָ֤ע וָנָד֙ בָּאָ֔רֶץ וְהָיָ֥ה
04-03A,אַ֔תָּה וְאֶל־עָפָ֖ר תָּשֽׁוּב׃ ,אֶל־הֶ֖בֶל וְאֶל־מִנְחָתֽוֹ׃ 5וְאֶל־,כָל־מֹצְאִ֖י יֽ͏ַהַרְגֵֽנִי׃ 15וַיֹּ֧אמֶר
04-03A,20וַיִּקְרָ֧א הָֽאָדָ֛ם שֵׁ֥ם אִשְׁתּ֖וֹ,קַ֥יִן וְאֶל־מִנְחָת֖וֹ לֹ֣א שָׁעָ֑ה,ל֣וֹ יְהוָ֗ה לָכֵן֙ כָּל־הֹרֵ֣ג קַ֔יִן
04-03A,חַוָּ֑ה כִּ֛י הִ֥וא הָֽיְתָ֖ה אֵ֥ם כָּל־חָֽי׃,וַיִּ֤חַר לְקַ֙יִן֙ מְאֹ֔ד וַֽיִּפְּל֖וּ פָּנָֽיו׃,שִׁבְעָתַ֖יִם יֻקָּ֑ם וַיָּ֨שֶׂם יְהוָ֤ה
04-03A, 21וַיַּעַשׂ֩ יְהוָ֨ה אֱלֹהִ֜ים לְאָדָ֧ם, 6וַיֹּ֥אמֶר יְהוָ֖ה אֶל־קָ֑יִן לָ֚מָּה,לְקַ֙יִן֙ א֔וֹת לְבִלְתִּ֥י הַכּוֹת־
04-03A,וּלְאִשְׁתּ֛וֹ כָּתְנ֥וֹת ע֖וֹר,חָ֣רָה לָ֔ךְ וְלָ֖מָּה נָפְל֥וּ פָנֶֽיךָ׃,אֹת֖וֹ כָּל־מֹצְאֽוֹ׃ 16וַיֵּ֥צֵא קַ֖יִן
04-03A,וַיַּלְבִּשֵֽׁם׃ פ , 7הֲל֤וֹא אִם־תֵּיטִיב֙ שְׂאֵ֔ת,מִלִּפְנֵ֣י יְהוָ֑ה וַיֵּ֥שֶׁב בְּאֶֽרֶץ־
